flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
2,0.95,1,1060,1,1,2,2,0,1
1,0.93,2,525,2,1,1,2,0,2
2,1.48,3,1065,3,1,2,2,1,1
3,2.5,3,1150,1,1,3,2,0,1
1,1.1,4,480,3,2,1,2,0,1
2,1.1,5,900,3,1,2,2,2,1
1,1.05,3,725,1,1,1,2,0,1
3,4.15,6,3375,1,3,3,3,3,1
2,2.4,7,1250,1,2,2,2,2,1
2,1.42,2,963,3,2,2,2,0,1
2,2.5,8,1125,3,1,2,2,3,1
2,1.62,6,900,4,1,2,2,0,1
2,1.46,3,1060,4,1,2,2,1,1
1,1.35,9,550,1,1,1,2,0,1
3,3.65,7,1500,3,2,3,3,1,1
2,1.17,10,708,1,1,2,2,0,1
4,9.5,11,1900,3,2,4,3,1,1
1,0.97,12,392,3,1,1,2,0,1
1,1.15,13,550,3,1,1,1,0,1
3,1.88,9,1010,1,1,3,2,0,1
1,0.6,1,432,1,1,1,1,2,2
4,5.5,14,1700,1,1,4,3,3,1
2,1.7,15,1050,1,1,2,2,0,1
3,0.52,16,1080,1,1,3,2,3,1
3,3.3,17,960,2,3,3,1,0,1
1,0.3,18,650,1,2,1,2,2,2
1,1.7,19,616,1,1,1,1,1,1
1,1.0,20,490,1,1,1,2,0,1
3,4.75,19,1670,1,1,3,2,2,1
3,2.5,13,1300,3,1,3,3,0,1
2,0.49,18,890,1,1,2,2,0,1
3,6.8,14,1579,1,1,3,2,1,1
2,2.0,21,750,1,2,2,2,3,1
2,0.82,1,995,3,1,2,2,3,1
3,4.3,14,1300,1,1,3,3,2,1
2,2.05,22,1100,1,1,2,2,2,1
1,1.6,11,590,3,1,1,1,1,1
1,1.35,20,600,4,3,1,2,0,1
2,1.9,4,955,1,2,2,2,0,1
3,7.0,23,1500,3,1,3,3,0,1
3,2.0,2,1000,1,2,3,3,0,1
4,7.1,7,2080,1,2,4,4,1,1
1,0.65,1,650,1,2,1,2,3,1
2,0.5,24,775,3,2,2,1,3,1
2,1.75,22,1052,4,3,2,2,1,1
1,0.8,9,650,1,2,1,2,0,1
1,1.4,25,600,3,2,1,2,0,1
3,4.2,26,1450,4,1,3,3,0,1
3,4.15,27,1200,3,1,3,3,0,1
3,2.4,15,1200,4,3,3,3,1,1
4,2.25,15,2100,4,1,4,4,0,1
1,0.75,1,515,1,2,1,2,2,1
2,2.15,28,600,1,2,2,2,0,1
3,3.75,14,1260,1,2,3,3,4,1
1,0.29,18,738,1,1,1,1,2,1
1,1.23,29,750,3,1,1,1,0,2
1,0.95,29,400,1,2,1,2,3,2
2,2.05,15,925,4,2,2,2,0,1
1,0.28,18,650,1,1,1,2,2,1
4,13.5,30,2100,4,3,4,4,2,1
1,0.35,24,590,1,1,1,2,2,1
6,13.5,28,2800,1,1,6,2,0,1
1,1.15,31,500,4,2,1,2,0,1
1,0.25,24,500,1,2,1,1,3,1
2,1.9,32,1050,1,1,2,2,1,1
1,0.33,24,609,1,2,1,1,3,1
2,0.46,18,750,3,1,2,2,3,2
4,8.4,6,1700,1,1,4,5,1,1
1,0.59,1,700,3,1,1,2,2,1
1,1.6,33,650,1,1,1,2,0,1
1,1.25,34,410,3,1,1,2,2,1
3,3.35,7,1500,1,2,3,2,1,1
2,2.5,15,1250,1,1,2,2,3,1
4,4.79,28,1500,1,2,4,3,4,1
3,3.35,15,1295,3,2,3,2,1,1
3,5.75,35,1250,4,3,3,3,0,1
2,0.65,1,1000,4,1,2,2,3,1
3,5.5,25,1770,3,2,3,3,0,1
2,0.68,36,1070,1,2,2,2,3,1
1,1.04,3,600,1,1,1,1,2,1
3,5.25,2,1350,1,2,3,1,0,1
3,5.5,37,1600,1,2,3,3,0,1
2,2.35,33,1230,3,2,2,2,1,1
1,1.05,31,655,2,1,1,2,0,2
1,0.8,1,705,3,2,1,2,2,1
2,1.7,15,900,4,1,2,2,0,1
1,1.05,22,600,3,2,1,2,0,1
1,0.73,1,730,3,1,1,2,0,1
2,3.8,17,850,3,1,2,2,0,1
3,5.5,38,1100,1,2,3,3,0,1
1,0.22,39,530,1,1,1,2,3,1
1,0.85,40,500,4,3,1,1,0,1
2,2.7,41,900,1,1,2,2,0,1
3,2.85,29,1670,3,2,3,4,1,1
3,4.1,6,980,1,1,2,1,0,1
6,13.25,7,3500,1,1,6,6,3,1
1,0.75,20,500,4,1,1,1,0,1
3,4.75,2,1395,3,1,3,3,0,1
2,3.65,19,955,1,2,2,2,1,1
1,1.35,22,395,3,1,1,1,0,1
1,0.29,18,550,1,1,1,2,2,1
2,1.4,31,858,4,1,2,2,0,2
2,1.9,7,780,1,2,2,2,0,1
3,1.45,6,1800,4,2,3,3,3,1
1,2.75,42,800,1,3,1,1,0,1
3,3.0,32,1100,3,2,3,3,0,1
2,0.45,39,750,1,1,2,2,2,1
2,1.0,5,890,1,1,2,1,0,1
2,3.38,37,950,1,1,2,2,1,1
1,1.21,4,585,4,1,1,1,0,2
3,5.5,43,1890,3,1,3,3,1,1
3,6.2,11,1462,3,1,3,1,0,1
2,1.25,28,570,4,3,2,3,0,2
1,1.25,15,802,3,2,1,2,0,1
3,8.0,44,3400,4,1,3,3,2,1
2,4.75,45,905,2,1,2,2,0,1
2,0.49,24,850,1,1,2,1,4,1
3,5.5,28,1800,4,1,3,3,0,1
4,8.0,19,2880,1,2,4,3,1,1
2,0.9,46,1125,1,1,2,1,0,1
2,3.25,47,1100,3,2,2,2,1,1
1,0.92,48,540,2,1,1,1,0,1
1,0.25,24,500,1,2,1,1,2,1
1,1.0,15,550,4,1,1,2,0,2
2,1.2,49,650,1,2,2,2,0,1
3,7.0,50,1800,1,2,3,2,0,1
1,0.34,18,610,1,1,1,2,2,1
3,2.65,15,1400,4,1,3,3,0,1
2,1.7,51,950,1,2,2,2,0,1
2,1.55,14,890,3,2,2,2,0,1
2,1.75,20,1050,1,2,2,2,0,1
2,2.85,14,1400,4,2,2,2,1,1
2,1.87,15,1000,4,3,2,2,0,1
4,6.6,21,2170,1,1,4,4,1,1
2,1.72,49,661,1,1,2,2,0,1
4,4.5,33,1650,1,1,4,4,0,1
3,2.56,3,1250,1,1,3,3,1,1
2,1.55,29,735,2,1,2,2,0,1
2,1.45,3,880,3,2,2,2,0,1
2,2.75,43,890,4,1,2,2,0,1
3,6.25,52,1550,3,1,3,3,0,2
3,6.5,53,1365,1,1,3,3,0,1
3,3.75,19,1500,1,2,3,2,4,1
2,1.44,29,1050,1,2,2,2,0,1
1,1.14,7,570,4,3,1,2,0,2
3,2.7,51,1250,4,1,3,3,3,1
1,1.0,15,525,4,2,1,2,0,1
2,3.15,28,950,3,3,2,2,0,1
2,2.5,7,1070,1,1,2,2,0,1
